codigo_comuna,nombre_comuna,areas_verdes_parques_m2_2024,areas_verdes_plazas_m2_2024,areas_verdes_total_m2_2024
13101,SANTIAGO,1592984,756436,2349420
13102,CERRILLOS,74008,661,74669
13103,CERRO NAVIA,264630,480007,744637
13104,CONCHALI,73058,289,73347
13105,EL BOSQUE,0,431700,431700
13106,ESTACION CENTRAL,169510,715000,884510
13107,HUECHURABA,28410,139048,167458
13108,INDEPENDENCIA,24000,78786,102786
13109,LA CISTERNA,0,93334,93334
13110,LA FLORIDA,145029,1172951,1317980
13111,LA GRANJA,421574,276748,698322
13112,LA PINTANA,3328,752691,756019
13113,LA REINA,1742996,210254,1953250
13114,LAS CONDES,583081,546305,1129386
13115,LO BARNECHEA,627053,267470,894523
13116,LO ESPEJO,64055,227916,291971
13117,LO PRADO,207660,135710,343370
13118,MACUL,96910,235066,331976
13119,MAIPU,680416,3338566,4018982
13120,ÑUÑOA,196490,444343,640833
13121,PEDRO AGUIRRE CERDA,200000,174698,374698
13122,PEÑALOLEN,1784651,1292440,3077091
13123,PROVIDENCIA,2743394,160974,2904368
13124,PUDAHUEL,339435,1232113,1571548
13125,QUILICURA,0,808434356,808434356
13126,QUINTA NORMAL,333859,67703,401562
13127,RECOLETA,382219,401565,783784
13128,RENCA,157582,653706,811288
13129,SAN JOAQUIN,186000,521206,707206
13130,SAN MIGUEL,74717,99392,174109
13131,SAN RAMON,92000,307523,399523
13132,VITACURA,426693,237461,664154
