codigo_comuna,nombre_comuna,personas_proyectadas_2022,personas_pobreza_ingresos_2022,pobreza_ingresos_pct_2022,pobreza_ingresos_pct_limite_inferior_2022,pobreza_ingresos_pct_limite_superior_2022
13101,SANTIAGO,530538,20504,3.8648,1.8454,5.8841
13102,CERRILLOS,89907,4701,5.2287,2.0715,8.3859
13103,CERRO NAVIA,141122,8486,6.0135,2.6252,9.4019
13104,CONCHALI,138230,8404,6.0799,2.7774,9.3825
13105,EL BOSQUE,170902,10593,6.1982,3.1803,9.2162
13106,ESTACION CENTRAL,218525,11019,5.0424,2.1427,7.9421
13107,HUECHURABA,116377,4977,4.2766,1.4604,7.0927
13108,INDEPENDENCIA,150807,8798,5.834,2.3225,9.3455
13109,LA CISTERNA,101315,4146,4.0923,1.6313,6.5533
13110,LA FLORIDA,406402,14346,3.5299,1.6583,5.4015
13111,LA GRANJA,120772,7283,6.0302,2.834,9.2263
13112,LA PINTANA,189224,17586,9.2938,6.0616,12.5261
13113,LA REINA,99946,1602,1.6027,0.0212,3.1842
13114,LAS CONDES,339547,3088,0.9093,0.0,2.1982
13115,LO BARNECHEA,128997,1165,0.9028,0.0,2.2406
13116,LO ESPEJO,102145,6927,6.7817,2.8862,10.6772
13117,LO PRADO,103390,5507,5.3267,2.0872,8.5662
13118,MACUL,137336,4772,3.4747,1.1055,5.844
13119,MAIPU,585951,19051,3.2512,1.6723,4.8302
13120,ÑUÑOA,261138,3888,1.4888,0.0952,2.8825
13121,PEDRO AGUIRRE CERDA,106065,5805,5.4732,2.4915,8.4548
13122,PEÑALOLEN,271089,8788,3.2417,0.9643,5.519
13123,PROVIDENCIA,162013,2142,1.3219,0.0,2.7692
13124,PUDAHUEL,259195,11317,4.366,2.011,6.7211
13125,QUILICURA,268706,14033,5.2223,2.5775,7.8671
13126,QUINTA NORMAL,140381,3017,2.1493,0.1613,4.1373
13127,RECOLETA,195514,10048,5.1391,2.183,8.0952
13128,RENCA,162638,8555,5.26,2.1821,8.3379
13129,SAN JOAQUIN,103586,5013,4.8395,2.1226,7.5564
13130,SAN MIGUEL,140870,3061,2.1727,0.216,4.1295
13131,SAN RAMON,84926,5845,6.8821,3.1177,10.6465
13132,VITACURA,97546,869,0.891,0.0,2.5278
