codigo_comuna,nombre_comuna,poblacion_censada_2024,hombres_2024,mujeres_2024,razon_hombre_mujer_2024
13101,SANTIAGO,438856,223237,215619,103.5
13102,CERRILLOS,85041,41216,43825,94.0
13103,CERRO NAVIA,127250,62329,64921,96.0
13104,CONCHALI,121587,59122,62465,94.6
13105,EL BOSQUE,155257,75720,79537,95.2
13106,ESTACION CENTRAL,181049,88630,92419,95.9
13107,HUECHURABA,101808,49479,52329,94.6
13108,INDEPENDENCIA,116943,56916,60027,94.8
13109,LA CISTERNA,103157,49154,54003,91.0
13110,LA FLORIDA,374836,178461,196375,90.9
13111,LA GRANJA,112022,54758,57264,95.6
13112,LA PINTANA,175421,85240,90181,94.5
13113,LA REINA,89870,42260,47610,88.8
13114,LAS CONDES,296134,137984,158150,87.2
13115,LO BARNECHEA,112620,53609,59011,90.8
13116,LO ESPEJO,87295,43095,44200,97.5
13117,LO PRADO,91290,44300,46990,94.3
13118,MACUL,123800,58479,65321,89.5
13119,MAIPU,503635,240903,262732,91.7
13120,ÑUÑOA,241467,111613,129854,86.0
13121,PEDRO AGUIRRE CERDA,96062,47073,48989,96.1
13122,PEÑALOLEN,236478,114260,122218,93.5
13123,PROVIDENCIA,143974,67329,76645,87.8
13124,PUDAHUEL,227820,109673,118147,92.8
13125,QUILICURA,205624,99649,105975,94.0
13126,QUINTA NORMAL,129351,63130,66221,95.3
13127,RECOLETA,154615,76020,78595,96.7
13128,RENCA,143622,69985,73637,95.0
13129,SAN JOAQUIN,95602,45983,49619,92.7
13130,SAN MIGUEL,150829,71229,79600,89.5
13131,SAN RAMON,76002,37417,38585,97.0
13132,VITACURA,86420,39914,46506,85.8
