codigo_comuna,nombre_comuna,provincia,region,fuente_referencia
13101,SANTIAGO,SANTIAGO,METROPOLITANA DE SANTIAGO,A
13102,CERRILLOS,SANTIAGO,METROPOLITANA DE SANTIAGO,A
13103,CERRO NAVIA,SANTIAGO,METROPOLITANA DE SANTIAGO,A
13104,CONCHALI,SANTIAGO,METROPOLITANA DE SANTIAGO,A
13105,EL BOSQUE,SANTIAGO,METROPOLITANA DE SANTIAGO,A
13106,ESTACION CENTRAL,SANTIAGO,METROPOLITANA DE SANTIAGO,A
13107,HUECHURABA,SANTIAGO,METROPOLITANA DE SANTIAGO,A
13108,INDEPENDENCIA,SANTIAGO,METROPOLITANA DE SANTIAGO,A
13109,LA CISTERNA,SANTIAGO,METROPOLITANA DE SANTIAGO,A
13110,LA FLORIDA,SANTIAGO,METROPOLITANA DE SANTIAGO,A
13111,LA GRANJA,SANTIAGO,METROPOLITANA DE SANTIAGO,A
13112,LA PINTANA,SANTIAGO,METROPOLITANA DE SANTIAGO,A
13113,LA REINA,SANTIAGO,METROPOLITANA DE SANTIAGO,A
13114,LAS CONDES,SANTIAGO,METROPOLITANA DE SANTIAGO,A
13115,LO BARNECHEA,SANTIAGO,METROPOLITANA DE SANTIAGO,A
13116,LO ESPEJO,SANTIAGO,METROPOLITANA DE SANTIAGO,A
13117,LO PRADO,SANTIAGO,METROPOLITANA DE SANTIAGO,A
13118,MACUL,SANTIAGO,METROPOLITANA DE SANTIAGO,A
13119,MAIPU,SANTIAGO,METROPOLITANA DE SANTIAGO,A
13120,ÑUÑOA,SANTIAGO,METROPOLITANA DE SANTIAGO,A
13121,PEDRO AGUIRRE CERDA,SANTIAGO,METROPOLITANA DE SANTIAGO,A
13122,PEÑALOLEN,SANTIAGO,METROPOLITANA DE SANTIAGO,A
13123,PROVIDENCIA,SANTIAGO,METROPOLITANA DE SANTIAGO,A
13124,PUDAHUEL,SANTIAGO,METROPOLITANA DE SANTIAGO,A
13125,QUILICURA,SANTIAGO,METROPOLITANA DE SANTIAGO,A
13126,QUINTA NORMAL,SANTIAGO,METROPOLITANA DE SANTIAGO,A
13127,RECOLETA,SANTIAGO,METROPOLITANA DE SANTIAGO,A
13128,RENCA,SANTIAGO,METROPOLITANA DE SANTIAGO,A
13129,SAN JOAQUIN,SANTIAGO,METROPOLITANA DE SANTIAGO,A
13130,SAN MIGUEL,SANTIAGO,METROPOLITANA DE SANTIAGO,A
13131,SAN RAMON,SANTIAGO,METROPOLITANA DE SANTIAGO,A
13132,VITACURA,SANTIAGO,METROPOLITANA DE SANTIAGO,A
