codigo_comuna,nombre_comuna,mmpqc_2024,mmpzc_2024
13101,SANTIAGO,1592984,756436
13102,CERRILLOS,74008,661
13103,CERRO NAVIA,264630,480007
13104,CONCHALÍ,73058,289
13105,EL BOSQUE,0,431700
13106,ESTACIÓN CENTRAL,169510,715000
13107,HUECHURABA,28410,139048
13108,INDEPENDENCIA,24000,78786
13109,LA CISTERNA,0,93334
13110,LA FLORIDA,145029,1172951
13111,LA GRANJA,421574,276748
13112,LA PINTANA,3328,752691
13113,LA REINA,1742996,210254
13114,LAS CONDES,583081,546305
13115,LO BARNECHEA,627053,267470
13116,LO ESPEJO,64055,227916
13117,LO PRADO,207660,135710
13118,MACUL,96910,235066
13119,MAIPÚ,680416,3338566
13120,ÑUÑOA,196490,444343
13121,PEDRO AGUIRRE CERDA,200000,174698
13122,PEÑALOLÉN,1784651,1292440
13123,PROVIDENCIA,2743394,160974
13124,PUDAHUEL,339435,1232113
13125,QUILICURA,No Aplica,808434356
13126,QUINTA NORMAL,333859,67703
13127,RECOLETA,382219,401565
13128,RENCA,157582,653706
13129,SAN JOAQUÍN,186000,521206
13130,SAN MIGUEL,74717,99392
13131,SAN RAMÓN,92000,307523
13132,VITACURA,426693,237461
13201,PUENTE ALTO,276919,3447205
13202,PIRQUE,86200,4479
13203,SAN JOSÉ DE MAIPO,No Aplica,1236
13301,COLINA,505195,342575
13302,LAMPA,164055,466442
13303,TILTIL,54750,141983
13401,SAN BERNARDO,165755,1307007
13402,BUIN,0,397814
13403,CALERA DE TANGO,0,57028
13404,PAINE,No Recepcionado,No Recepcionado
13501,MELIPILLA,78866,523397
13502,ALHUÉ,15095,56421
13503,CURACAVÍ,145707,46827
13504,MARÍA PINTO,96118,51304
13505,SAN PEDRO,9312,20344
13601,TALAGANTE,114700,326793
13602,EL MONTE,No Aplica,136000
13603,ISLA DE MAIPO,0,168
13604,PADRE HURTADO,0,427956
13605,PEÑAFLOR,No Recepcionado,No Recepcionado
