codigo_comuna,nombre_comuna,iadm41_2024
13101,SANTIAGO,123162816
13102,CERRILLOS,19206241
13103,CERRO NAVIA,3525077
13104,CONCHALÍ,10751595
13105,EL BOSQUE,7132758
13106,ESTACIÓN CENTRAL,24368743
13107,HUECHURABA,43248367
13108,INDEPENDENCIA,13577166
13109,LA CISTERNA,11324057
13110,LA FLORIDA,47231246
13111,LA GRANJA,5272131
13112,LA PINTANA,6715421
13113,LA REINA,31019315
13114,LAS CONDES,220242010
13115,LO BARNECHEA,118138043
13116,LO ESPEJO,4269491
13117,LO PRADO,3588866
13118,MACUL,19664379
13119,MAIPÚ,46214701
13120,ÑUÑOA,46387912
13121,PEDRO AGUIRRE CERDA,6659302
13122,PEÑALOLÉN,36622463
13123,PROVIDENCIA,100441974
13124,PUDAHUEL,53826090
13125,QUILICURA,50033693
13126,QUINTA NORMAL,12800718
13127,RECOLETA,29174871
13128,RENCA,26066880
13129,SAN JOAQUÍN,18342646
13130,SAN MIGUEL,17321541
13131,SAN RAMÓN,4106548
13132,VITACURA,86514257
13201,PUENTE ALTO,30874242
13202,PIRQUE,7273144
13203,SAN JOSÉ DE MAIPO,3929391
13301,COLINA,48819997
13302,LAMPA,28387159
13303,TILTIL,2949424
13401,SAN BERNARDO,45042850
13402,BUIN,13618373
13403,CALERA DE TANGO,5512385
13404,PAINE,11063523
13501,MELIPILLA,9435514
13502,ALHUÉ,10612560
13503,CURACAVÍ,5669196
13504,MARÍA PINTO,2994899
13505,SAN PEDRO,1396884
13601,TALAGANTE,7350692
13602,EL MONTE,3520317
13603,ISLA DE MAIPO,4603424
13604,PADRE HURTADO,9604438
13605,PEÑAFLOR,7820854
