Código región,Región,Código provincia,Provincia,Código comuna,Comuna,Población censada,Hombres,Mujeres,Razón hombre-mujer
0,País,0.0,País,0.0,País,18480432.0,8967033.0,9513399.0,94.3
15,Arica y Parinacota,151.0,Arica,15101.0,Arica,241653.0,118844.0,122809.0,96.8
15,Arica y Parinacota,151.0,Arica,15102.0,Camarones,861.0,430.0,431.0,99.8
15,Arica y Parinacota,152.0,Parinacota,15201.0,Putre,1547.0,846.0,701.0,120.7
15,Arica y Parinacota,152.0,Parinacota,15202.0,General Lagos,508.0,261.0,247.0,105.7
1,Tarapacá,11.0,Iquique,1101.0,Iquique,199587.0,98413.0,101174.0,97.3
1,Tarapacá,11.0,Iquique,1107.0,Alto Hospicio,142086.0,70649.0,71437.0,98.9
1,Tarapacá,14.0,Del Tamarugal,1401.0,Pozo Almonte,16878.0,8667.0,8211.0,105.6
1,Tarapacá,14.0,Del Tamarugal,1402.0,Camiña,1335.0,648.0,687.0,94.3
1,Tarapacá,14.0,Del Tamarugal,1403.0,Colchane,790.0,389.0,401.0,97.0
1,Tarapacá,14.0,Del Tamarugal,1404.0,Huara,2858.0,1484.0,1374.0,108.0
1,Tarapacá,14.0,Del Tamarugal,1405.0,Pica,6272.0,3093.0,3179.0,97.3
2,Antofagasta,21.0,Antofagasta,2101.0,Antofagasta,401096.0,197979.0,203117.0,97.5
2,Antofagasta,21.0,Antofagasta,2102.0,Mejillones,14084.0,7021.0,7063.0,99.4
2,Antofagasta,21.0,Antofagasta,2103.0,Sierra Gorda,1472.0,707.0,765.0,92.4
2,Antofagasta,21.0,Antofagasta,2104.0,Taltal,12097.0,6063.0,6034.0,100.5
2,Antofagasta,22.0,El Loa,2201.0,Calama,166334.0,82269.0,84065.0,97.9
2,Antofagasta,22.0,El Loa,2202.0,Ollagüe,256.0,122.0,134.0,91.0
2,Antofagasta,22.0,El Loa,2203.0,San Pedro de Atacama,9843.0,4768.0,5075.0,94.0
2,Antofagasta,23.0,Tocopilla,2301.0,Tocopilla,25400.0,12589.0,12811.0,98.3
2,Antofagasta,23.0,Tocopilla,2302.0,María Elena,4834.0,2477.0,2357.0,105.1
3,Atacama,31.0,Copiapó,3101.0,Copiapó,168831.0,83536.0,85295.0,97.9
3,Atacama,31.0,Copiapó,3102.0,Caldera,18805.0,9396.0,9409.0,99.9
3,Atacama,31.0,Copiapó,3103.0,Tierra Amarilla,11846.0,6070.0,5776.0,105.1
3,Atacama,32.0,Chañaral,3201.0,Chañaral,12345.0,6219.0,6126.0,101.5
3,Atacama,32.0,Chañaral,3202.0,Diego de Almagro,11397.0,5672.0,5725.0,99.1
3,Atacama,33.0,Huasco,3301.0,Vallenar,54222.0,26541.0,27681.0,95.9
3,Atacama,33.0,Huasco,3302.0,Alto del Carmen,4788.0,2454.0,2334.0,105.1
3,Atacama,33.0,Huasco,3303.0,Freirina,7577.0,3743.0,3834.0,97.6
3,Atacama,33.0,Huasco,3304.0,Huasco,9369.0,4632.0,4737.0,97.8
4,Coquimbo,41.0,Elqui,4101.0,La Serena,250141.0,120407.0,129734.0,92.8
4,Coquimbo,41.0,Elqui,4102.0,Coquimbo,263719.0,127926.0,135793.0,94.2
4,Coquimbo,41.0,Elqui,4103.0,Andacollo,11566.0,5800.0,5766.0,100.6
4,Coquimbo,41.0,Elqui,4104.0,La Higuera,4335.0,2299.0,2036.0,112.9
4,Coquimbo,41.0,Elqui,4105.0,Paihuano,4649.0,2310.0,2339.0,98.8
4,Coquimbo,41.0,Elqui,4106.0,Vicuña,28047.0,13738.0,14309.0,96.0
4,Coquimbo,42.0,Choapa,4201.0,Illapel,32009.0,15548.0,16461.0,94.5
4,Coquimbo,42.0,Choapa,4202.0,Canela,9639.0,4869.0,4770.0,102.1
4,Coquimbo,42.0,Choapa,4203.0,Los Vilos,22879.0,11281.0,11598.0,97.3
4,Coquimbo,42.0,Choapa,4204.0,Salamanca,27823.0,13772.0,14051.0,98.0
