codigo_comuna,nombre_comuna,ipp_miles_pesos
13101,SANTIAGO,123162816
13102,CERRILLOS,19206241
13103,CERRO NAVIA,3525077
13104,CONCHALI,10751595
13105,EL BOSQUE,7132758
13106,ESTACION CENTRAL,24368743
13107,HUECHURABA,43248367
13108,INDEPENDENCIA,13577166
13109,LA CISTERNA,11324057
13110,LA FLORIDA,47231246
13111,LA GRANJA,5272131
13112,LA PINTANA,6715421
13113,LA REINA,31019315
13114,LAS CONDES,220242010
13115,LO BARNECHEA,118138043
13116,LO ESPEJO,4269491
13117,LO PRADO,3588866
13118,MACUL,19664379
13119,MAIPU,46214701
13120,ÑUÑOA,46387912
13121,PEDRO AGUIRRE CERDA,6659302
13122,PEÑALOLEN,36622463
13123,PROVIDENCIA,100441974
13124,PUDAHUEL,53826090
13125,QUILICURA,50033693
13126,QUINTA NORMAL,12800718
13127,RECOLETA,29174871
13128,RENCA,26066880
13129,SAN JOAQUIN,18342646
13130,SAN MIGUEL,17321541
13131,SAN RAMON,4106548
13132,VITACURA,86514257
