codigo_comuna,nombre_comuna,poblacion
13101,SANTIAGO,438856
13102,CERRILLOS,85041
13103,CERRO NAVIA,127250
13104,CONCHALI,121587
13105,EL BOSQUE,155257
13106,ESTACION CENTRAL,181049
13107,HUECHURABA,101808
13108,INDEPENDENCIA,116943
13109,LA CISTERNA,103157
13110,LA FLORIDA,374836
13111,LA GRANJA,112022
13112,LA PINTANA,175421
13113,LA REINA,89870
13114,LAS CONDES,296134
13115,LO BARNECHEA,112620
13116,LO ESPEJO,87295
13117,LO PRADO,91290
13118,MACUL,123800
13119,MAIPU,503635
13120,ÑUÑOA,241467
13121,PEDRO AGUIRRE CERDA,96062
13122,PEÑALOLEN,236478
13123,PROVIDENCIA,143974
13124,PUDAHUEL,227820
13125,QUILICURA,205624
13126,QUINTA NORMAL,129351
13127,RECOLETA,154615
13128,RENCA,143622
13129,SAN JOAQUIN,95602
13130,SAN MIGUEL,150829
13131,SAN RAMON,76002
13132,VITACURA,86420
