codigo_comuna,nombre_comuna,pobreza_ingresos_pct
13101,SANTIAGO,3.8648
13102,CERRILLOS,5.2287
13103,CERRO NAVIA,6.0135
13104,CONCHALI,6.0799
13105,EL BOSQUE,6.1982
13106,ESTACION CENTRAL,5.0424
13107,HUECHURABA,4.2766
13108,INDEPENDENCIA,5.834
13109,LA CISTERNA,4.0923
13110,LA FLORIDA,3.5299
13111,LA GRANJA,6.0302
13112,LA PINTANA,9.2938
13113,LA REINA,1.6027
13114,LAS CONDES,0.9093
13115,LO BARNECHEA,0.9028
13116,LO ESPEJO,6.7817
13117,LO PRADO,5.3267
13118,MACUL,3.4747
13119,MAIPU,3.2512
13120,ÑUÑOA,1.4888
13121,PEDRO AGUIRRE CERDA,5.4732
13122,PEÑALOLEN,3.2417
13123,PROVIDENCIA,1.3219
13124,PUDAHUEL,4.366
13125,QUILICURA,5.2223
13126,QUINTA NORMAL,2.1493
13127,RECOLETA,5.1391
13128,RENCA,5.26
13129,SAN JOAQUIN,4.8395
13130,SAN MIGUEL,2.1727
13131,SAN RAMON,6.8821
13132,VITACURA,0.891
