fuente,codigo_comuna,nombre_comuna_base,nombre_fuente,nombre_normalizado,tipo_diferencia,requiere_homologacion_manual,observacion,llave_principal_proyecto
A,13101,SANTIAGO,SANTIAGO,SANTIAGO,coincidencia_exacta,False,La fuente coincide exactamente con la base maestra por codigo y nombre.,codigo_comuna
A,13102,CERRILLOS,CERRILLOS,CERRILLOS,coincidencia_exacta,False,La fuente coincide exactamente con la base maestra por codigo y nombre.,codigo_comuna
A,13103,CERRO NAVIA,CERRO NAVIA,CERRO NAVIA,coincidencia_exacta,False,La fuente coincide exactamente con la base maestra por codigo y nombre.,codigo_comuna
A,13104,CONCHALI,CONCHALÍ,CONCHALI,coincidencia_por_normalizacion,False,"La diferencia de nombre se resuelve automaticamente con normalizacion de mayusculas, espacios y tildes.",codigo_comuna
A,13105,EL BOSQUE,EL BOSQUE,EL BOSQUE,coincidencia_exacta,False,La fuente coincide exactamente con la base maestra por codigo y nombre.,codigo_comuna
A,13106,ESTACION CENTRAL,ESTACIÓN CENTRAL,ESTACION CENTRAL,coincidencia_por_normalizacion,False,"La diferencia de nombre se resuelve automaticamente con normalizacion de mayusculas, espacios y tildes.",codigo_comuna
A,13107,HUECHURABA,HUECHURABA,HUECHURABA,coincidencia_exacta,False,La fuente coincide exactamente con la base maestra por codigo y nombre.,codigo_comuna
A,13108,INDEPENDENCIA,INDEPENDENCIA,INDEPENDENCIA,coincidencia_exacta,False,La fuente coincide exactamente con la base maestra por codigo y nombre.,codigo_comuna
A,13109,LA CISTERNA,LA CISTERNA,LA CISTERNA,coincidencia_exacta,False,La fuente coincide exactamente con la base maestra por codigo y nombre.,codigo_comuna
A,13110,LA FLORIDA,LA FLORIDA,LA FLORIDA,coincidencia_exacta,False,La fuente coincide exactamente con la base maestra por codigo y nombre.,codigo_comuna
A,13111,LA GRANJA,LA GRANJA,LA GRANJA,coincidencia_exacta,False,La fuente coincide exactamente con la base maestra por codigo y nombre.,codigo_comuna
A,13112,LA PINTANA,LA PINTANA,LA PINTANA,coincidencia_exacta,False,La fuente coincide exactamente con la base maestra por codigo y nombre.,codigo_comuna
A,13113,LA REINA,LA REINA,LA REINA,coincidencia_exacta,False,La fuente coincide exactamente con la base maestra por codigo y nombre.,codigo_comuna
A,13114,LAS CONDES,LAS CONDES,LAS CONDES,coincidencia_exacta,False,La fuente coincide exactamente con la base maestra por codigo y nombre.,codigo_comuna
A,13115,LO BARNECHEA,LO BARNECHEA,LO BARNECHEA,coincidencia_exacta,False,La fuente coincide exactamente con la base maestra por codigo y nombre.,codigo_comuna
A,13116,LO ESPEJO,LO ESPEJO,LO ESPEJO,coincidencia_exacta,False,La fuente coincide exactamente con la base maestra por codigo y nombre.,codigo_comuna
A,13117,LO PRADO,LO PRADO,LO PRADO,coincidencia_exacta,False,La fuente coincide exactamente con la base maestra por codigo y nombre.,codigo_comuna
A,13118,MACUL,MACUL,MACUL,coincidencia_exacta,False,La fuente coincide exactamente con la base maestra por codigo y nombre.,codigo_comuna
A,13119,MAIPU,MAIPÚ,MAIPU,coincidencia_por_normalizacion,False,"La diferencia de nombre se resuelve automaticamente con normalizacion de mayusculas, espacios y tildes.",codigo_comuna
A,13120,ÑUÑOA,ÑUÑOA,NUNOA,coincidencia_exacta,False,La fuente coincide exactamente con la base maestra por codigo y nombre.,codigo_comuna
A,13121,PEDRO AGUIRRE CERDA,PEDRO AGUIRRE CERDA,PEDRO AGUIRRE CERDA,coincidencia_exacta,False,La fuente coincide exactamente con la base maestra por codigo y nombre.,codigo_comuna
A,13122,PEÑALOLEN,PEÑALOLÉN,PENALOLEN,coincidencia_por_normalizacion,False,"La diferencia de nombre se resuelve automaticamente con normalizacion de mayusculas, espacios y tildes.",codigo_comuna
A,13123,PROVIDENCIA,PROVIDENCIA,PROVIDENCIA,coincidencia_exacta,False,La fuente coincide exactamente con la base maestra por codigo y nombre.,codigo_comuna
A,13124,PUDAHUEL,PUDAHUEL,PUDAHUEL,coincidencia_exacta,False,La fuente coincide exactamente con la base maestra por codigo y nombre.,codigo_comuna
A,13125,QUILICURA,QUILICURA,QUILICURA,coincidencia_exacta,False,La fuente coincide exactamente con la base maestra por codigo y nombre.,codigo_comuna
A,13126,QUINTA NORMAL,QUINTA NORMAL,QUINTA NORMAL,coincidencia_exacta,False,La fuente coincide exactamente con la base maestra por codigo y nombre.,codigo_comuna
A,13127,RECOLETA,RECOLETA,RECOLETA,coincidencia_exacta,False,La fuente coincide exactamente con la base maestra por codigo y nombre.,codigo_comuna
A,13128,RENCA,RENCA,RENCA,coincidencia_exacta,False,La fuente coincide exactamente con la base maestra por codigo y nombre.,codigo_comuna
A,13129,SAN JOAQUIN,SAN JOAQUÍN,SAN JOAQUIN,coincidencia_por_normalizacion,False,"La diferencia de nombre se resuelve automaticamente con normalizacion de mayusculas, espacios y tildes.",codigo_comuna
A,13130,SAN MIGUEL,SAN MIGUEL,SAN MIGUEL,coincidencia_exacta,False,La fuente coincide exactamente con la base maestra por codigo y nombre.,codigo_comuna
A,13131,SAN RAMON,SAN RAMÓN,SAN RAMON,coincidencia_por_normalizacion,False,"La diferencia de nombre se resuelve automaticamente con normalizacion de mayusculas, espacios y tildes.",codigo_comuna
A,13132,VITACURA,VITACURA,VITACURA,coincidencia_exacta,False,La fuente coincide exactamente con la base maestra por codigo y nombre.,codigo_comuna
A,13201,,PUENTE ALTO,PUENTE ALTO,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
A,13202,,PIRQUE,PIRQUE,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
A,13203,,SAN JOSÉ DE MAIPO,SAN JOSE DE MAIPO,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
A,13301,,COLINA,COLINA,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
A,13302,,LAMPA,LAMPA,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
A,13303,,TILTIL,TILTIL,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
A,13401,,SAN BERNARDO,SAN BERNARDO,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
A,13402,,BUIN,BUIN,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
A,13403,,CALERA DE TANGO,CALERA DE TANGO,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
A,13404,,PAINE,PAINE,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
A,13501,,MELIPILLA,MELIPILLA,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
A,13502,,ALHUÉ,ALHUE,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
A,13503,,CURACAVÍ,CURACAVI,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
A,13504,,MARÍA PINTO,MARIA PINTO,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
A,13505,,SAN PEDRO,SAN PEDRO,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
A,13601,,TALAGANTE,TALAGANTE,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
A,13602,,EL MONTE,EL MONTE,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
A,13603,,ISLA DE MAIPO,ISLA DE MAIPO,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
A,13604,,PADRE HURTADO,PADRE HURTADO,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
A,13605,,PEÑAFLOR,PENAFLOR,fuera_de_alcance,False,"Codigo comunal presente en la fuente, pero fuera del universo final de 32 comunas.",codigo_comuna
B,13101,SANTIAGO,SANTIAGO,SANTIAGO,coincidencia_exacta,False,La fuente coincide exactamente con la base maestra por codigo y nombre.,codigo_comuna
B,13102,CERRILLOS,CERRILLOS,CERRILLOS,coincidencia_exacta,False,La fuente coincide exactamente con la base maestra por codigo y nombre.,codigo_comuna
B,13103,CERRO NAVIA,CERRO NAVIA,CERRO NAVIA,coincidencia_exacta,False,La fuente coincide exactamente con la base maestra por codigo y nombre.,codigo_comuna
B,13104,CONCHALI,CONCHALÍ,CONCHALI,coincidencia_por_normalizacion,False,"La diferencia de nombre se resuelve automaticamente con normalizacion de mayusculas, espacios y tildes.",codigo_comuna
B,13105,EL BOSQUE,EL BOSQUE,EL BOSQUE,coincidencia_exacta,False,La fuente coincide exactamente con la base maestra por codigo y nombre.,codigo_comuna
B,13106,ESTACION CENTRAL,ESTACIÓN CENTRAL,ESTACION CENTRAL,coincidencia_por_normalizacion,False,"La diferencia de nombre se resuelve automaticamente con normalizacion de mayusculas, espacios y tildes.",codigo_comuna
B,13107,HUECHURABA,HUECHURABA,HUECHURABA,coincidencia_exacta,False,La fuente coincide exactamente con la base maestra por codigo y nombre.,codigo_comuna
B,13108,INDEPENDENCIA,INDEPENDENCIA,INDEPENDENCIA,coincidencia_exacta,False,La fuente coincide exactamente con la base maestra por codigo y nombre.,codigo_comuna
B,13109,LA CISTERNA,LA CISTERNA,LA CISTERNA,coincidencia_exacta,False,La fuente coincide exactamente con la base maestra por codigo y nombre.,codigo_comuna
B,13110,LA FLORIDA,LA FLORIDA,LA FLORIDA,coincidencia_exacta,False,La fuente coincide exactamente con la base maestra por codigo y nombre.,codigo_comuna
B,13111,LA GRANJA,LA GRANJA,LA GRANJA,coincidencia_exacta,False,La fuente coincide exactamente con la base maestra por codigo y nombre.,codigo_comuna
B,13112,LA PINTANA,LA PINTANA,LA PINTANA,coincidencia_exacta,False,La fuente coincide exactamente con la base maestra por codigo y nombre.,codigo_comuna
